"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Judith Clark — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/82ec8274e69833d29abf.jpg","vansmithlab.com","","Exhibition as a thinking device: fashion, space, scale and museum critique · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/glossary/curators/judith-clark-fashion-exhibition-museology/","","fashion, art, interior-design, media-publishing, design, visual culture, VANSMITHLAB"
"Lotta Volkova — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/8f269749ee452aefe13c.jpg","vansmithlab.com","","The stylist as cultural montage: subculture, runway and a new system of taste · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/glossary/stylists/lotta-volkova-styling-subculture-fashion/","","fashion, photography, media-publishing, design, visual culture, VANSMITHLAB"
"Louis Kahn — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/4c4257ceca6ad009e138.jpg","vansmithlab.com","","Monumentality, light and the architecture of institutions · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/glossary/architects/louis-kahn/","","architecture, architects, materials-techniques, design, visual culture, VANSMITHLAB"
"Louise Bourgeois — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/af353b75ded8d81cdee7.jpg","vansmithlab.com","","Memory, the body and the architecture of psychological space · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/glossary/artists/louise-bourgeois/","","art, design, visual culture, VANSMITHLAB"
"Ludwig Mies van der Rohe — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/a5b6f93de58bfbc9a1ab.jpg","vansmithlab.com","","Universal space, the steel frame and the discipline of detail · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/glossary/architects/mies-van-der-rohe/","","architecture, architects, design, visual culture, VANSMITHLAB"
"Luis Barragán — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/498889f4264f62d91204.jpg","vansmithlab.com","","The emotional architecture of colour, silence, garden and light · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/glossary/architects/luis-barragan/","","architecture, architects, design, visual culture, VANSMITHLAB"
"M/M (Paris) — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/5ecaccc62aeb2381198e.jpg","vansmithlab.com","","Signs, collaboration and the expanded field of graphic design · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/articles/mm-paris-signs-collaboration-expanded-graphic-design/","","graphic-design, media-publishing, fashion, art, photography, product-design, interior-design, design, visual culture, VANSMITHLAB"
"MACK — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/10cb5b79abd13a5edc5e.jpg","vansmithlab.com","","An independent publisher or editorial studio in London since 2010. It treats the book as an authored form in which image sequence, size, paper, printing and text together create a way of reading photography and art. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/articles/mack/","","media-publishing, graphic-design, photography, art, architecture, design, visual culture, VANSMITHLAB"
"Magazine Cover — Image as the Interface of an Issue — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/0d37593afd77a790b657.jpg","vansmithlab.com","","One frame, a name, a masthead and a few lines must sell the issue while stating its position. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/magazine-cover-image-as-issue-interface/","","image-grammar, design, visual culture, VANSMITHLAB"
"Magazine Spread — The Space Between Two Pages — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/872c1fcb0c4bc9817c6f.jpg","vansmithlab.com","","A magazine is read not as isolated pages but through collisions and pauses between left and right fields. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/magazine-spread-space-between-two-pages/","","image-grammar, design, visual culture, VANSMITHLAB"
"Maison de Verre — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/c5a418e1743d7712b56f.jpg","vansmithlab.com","","Pierre Chareau, Bernard Bijvoet, and the Dalsace house: industrial materials, movable elements, and layered privacy. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/maison-de-verre/","","space-typologies, design, visual culture, VANSMITHLAB"
"Maison Margiela: anonymity as an authorial signature — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/709ded2fb6607a53f351.jpg","vansmithlab.com","","A house that built recognition on the refusal of face, name, and logotype — and turned the inside of construction into its signature code. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/articles/maison-margiela/","","fashion-systems, image-grammar, design, visual culture, VANSMITHLAB"
"Marble — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/a5549830a28f5e2c0d13.jpg","vansmithlab.com","","Origin, types, finishing and visual language · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/marble-origin-types-finishes-visual-language/","","architecture, design, visual culture, VANSMITHLAB"
"Marc Newson — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/3a5375e749ea81c57650.jpg","vansmithlab.com","","A continuous surface without visible joints, at once a form and a manufacturing requirement. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/glossary/industrial-designers/marc-newson-surface-without-a-seam/","","industrial-design, materials, design, visual culture, VANSMITHLAB"
"Marcel Duchamp — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/6d1a0c8a0b9a88514315.jpg","vansmithlab.com","","Choice, chance and the redefinition of the work of art · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/glossary/artists/marcel-duchamp/","","art, design, visual culture, VANSMITHLAB"
"Marshall McLuhan — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/b985c0b0cd29c9342c47.jpg","vansmithlab.com","","The carrier of a message changes perception more than the message does. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/glossary/critics-theorists/marshall-mcluhan-medium-as-environment/","","media-publishing, image-grammar, design, visual culture, VANSMITHLAB"
"Marshmallow Laser Feast — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/d073831c32374e0fabb7.jpg","vansmithlab.com","","An art studio in London since 2012. It uses virtual reality, spatial sound and scientific data to translate invisible natural processes into bodily experience. · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/articles/marshmallow-laser-feast/","","art, media-publishing, design, visual culture, VANSMITHLAB"
"Martin Margiela — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/194d8d990a4a4050139b.jpg","vansmithlab.com","","Deconstruction, anonymity and clothing as a system of time · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/glossary/designers/martin-margiela/","","fashion, design, visual culture, VANSMITHLAB"
"Marvin Israel — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/7a5d634902b401b4b714.jpg","vansmithlab.com","","Selection, tension and trust in art direction · VANSMITHLAB · AI reconstruction, 2026","https://vansmithlab.com/en/glossary/art-directors/marvin-israel-selection-tension-trust-art-direction/","","graphic-design, media-publishing, photography, art, design, visual culture, VANSMITHLAB"
"Massimo Vignelli — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/83e72bcbdb6f68dc68e0.jpg","vansmithlab.com","","System, order and design as one · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/glossary/graphic-designers/massimo-vignelli-system-order-design-is-one/","","graphic-design, product-design, interior-design, architecture, media-publishing, design, visual culture, VANSMITHLAB"
"Material as luxury — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/1748971c90d17c586557.jpg","vansmithlab.com","","Luxury arises not from the price of raw material but from processing, edition, and a regime of explanation. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/collections/material-kak-roskosh/","","materials, fashion-systems, design, visual culture, VANSMITHLAB"
"Material ConneXion — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/2058c192371d9e623898.jpg","vansmithlab.com","","A research organisation in New York since 1997. It builds physical and digital libraries of new materials and helps designers compare properties, suppliers and possible applications. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/articles/material-connexion/","","product-design, architecture, art, design, visual culture, VANSMITHLAB"
"Materials — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/d8f4ac70f6962952fe7d.jpg","vansmithlab.com","","Physical properties, visual characteristics and cultural codes of materials — from stone and metal to textile and composites. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/collections/materialy/","","material-design, architecture, product-design, design, visual culture, VANSMITHLAB"
"Materiom — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/c4764602e854aebe72b4.jpg","vansmithlab.com","","A research organisation in London since 2017. It builds an open database of bio-based material recipes and links experimental samples to data for comparing properties and possible applications. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/articles/materiom/","","product-design, architecture, art, design, visual culture, VANSMITHLAB"
"Mats Gustafson — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/5fa3f84e16477914a0ea.jpg","vansmithlab.com","","Watercolour, silhouette and silence: fashion illustration as reduction · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/glossary/illustrators/mats-gustafson-fashion-illustration-watercolor/","","fashion, graphic-design, art, media-publishing, design, visual culture, VANSMITHLAB"
"Memphis — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/9d6da363636732e41371.jpg","vansmithlab.com","","Color, play and anti-functional energy · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/memphis-color-play-antifunctional-energy/","","product-design, interior-design, graphic-design, fashion, art, design, visual culture, VANSMITHLAB"
"Metabolism — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/35a75100628291a0ba0b.jpg","vansmithlab.com","","City as living organism and the architecture of growth · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/metabolism-city-living-organism-architecture-of-growth/","","architecture, product-design, interior-design, graphic-design, photography, design, visual culture, VANSMITHLAB"
"Mezzadro — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/1f88f74bbb4e41f69c20.jpg","vansmithlab.com","","A found industrial element transformed into a domestic object · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/mezzadro-stool/","","object-space, design, visual culture, VANSMITHLAB"
"Michael Graves — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/106e2f3deb9e360ce1b6.jpg","vansmithlab.com","","Ornament, mass design and the architecture of accessibility · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/glossary/architects/michael-graves/","","architecture, architects, design, visual culture, VANSMITHLAB"
"Mid-Century Modern — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/a44372b0251f0850663a.jpg","vansmithlab.com","","Postwar home, furniture and mass production · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/mid-century-modern-postwar-home-furniture-mass-production/","","architecture, interior-design, product-design, graphic-design, photography, fashion, art, design, visual culture, VANSMITHLAB"
"Minimalism — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/48f16bae1b62ad7b53d5.jpg","vansmithlab.com","","Reduction, space and the discipline of form · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/minimalism-reduction-space-discipline-of-form/","","art, architecture, interior-design, fashion, graphic-design, design, visual culture, VANSMITHLAB"
"Minimalism: why absence sometimes costs more than decoration — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/9a414c291a04f547d672.jpg","vansmithlab.com","","Minimalism is expensive not through the number of elements but because it moves cost into the precision of surface, joint, and tolerance. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/analysis/minimalism-why-absence-can-cost-more-than-decoration/","","history-movements, materials, design, visual culture, VANSMITHLAB"
"Miuccia Prada — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/e9997d1f29af96c6b284.jpg","vansmithlab.com","","Intellectual fashion and the aesthetic of contradiction: how nylon, the uniform, 'wrong' beauty, architecture and contemporary art changed the language of luxury · VANSMITHLAB - AI illustration, 2026","https://vansmithlab.com/en/glossary/designers/miuccia-prada/","","fashion, design, visual culture, VANSMITHLAB"
"Modernism — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/ab489861346ea47af9e3.jpg","vansmithlab.com","","Form follows function · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/modernism-form-follows-function/","","architecture, design, fashion, photography, graphic-design, visual culture, VANSMITHLAB"
"MoMA — Architecture & Design — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/2bac21e06bc8250d0207.jpg","vansmithlab.com","","A cultural institution in New York since 1932. It collects architecture and design as interconnected fields, shaping history through exhibitions, acquisitions, archives and research programmes. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/articles/moma-architecture-design/","","art, architecture, graphic-design, product-design, fashion, media-publishing, design, visual culture, VANSMITHLAB"
"MoMA and the making of modern design history — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/7aad9860fa20d45d6858.jpg","vansmithlab.com","","The museum did not only collect modern design; it taught the public to treat design as cultural history. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/articles/moma-and-the-making-of-modern-design-history/","","history-movements, space-typologies, design, visual culture, VANSMITHLAB"
"Moment Factory — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/b0efdc76ebb79ab32432.jpg","vansmithlab.com","","A studio in Montreal since 2001. It combines light, sound, video, scenography, architecture and interaction in large public and entertainment environments. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/articles/moment-factory/","","graphic-design, art, media-publishing, design, visual culture, VANSMITHLAB"
"Mother — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/db4367050761cbcc9cda.jpg","vansmithlab.com","","A multidisciplinary creative company in London since 1996. It builds an independent culture around authored ideas, collective critique and distinctive brand voice. · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/articles/mother/","","graphic-design, media-publishing, design, visual culture, VANSMITHLAB"
"Motion capture — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/c0dd6600674d0d77ec9b.jpg","vansmithlab.com","","Movement is separated from a body and becomes transferable data that can be edited, stored, and applied to another figure. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/motion-capture/","","technology, image-grammar, design, visual culture, VANSMITHLAB"
"Motion Design — Graphic Design Gains Time — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/015d33f0bf3aeffdf3fd.jpg","vansmithlab.com","","Grid, type, form and image begin not only to occupy space but to change state. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/motion-design-graphic-design-gains-time/","","image-grammar, design, visual culture, VANSMITHLAB"
"Motion pipelines — time as a design material — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/a12db984137e91a1251a.jpg","vansmithlab.com","","Movement is designed through curves and durations and produced by a pipeline with constraints of its own. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/motion-pipelines-time-as-design-material/","","image-grammar, media-publishing, design, visual culture, VANSMITHLAB"
"Mucho — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/3b3e6031f1135b446bc2.jpg","vansmithlab.com","","A studio or agency in Barcelona since 2002. It builds visual systems from a clear idea, typography and editorial thinking, with close attention to everyday applications. · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/articles/mucho/","","graphic-design, media-publishing, design, visual culture, VANSMITHLAB"
"MUJI: the absence of brand as a brand project — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/044a943faa256da464ac.jpg","vansmithlab.com","","Refusing visible branding itself becomes a brand project, where value is built on rationality and ordinariness. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/articles/muji-no-brand-as-brand-project/","","graphic-design, materials, design, visual culture, VANSMITHLAB"
"Naoto Fukasawa — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/4ca3ff02d455977c4c67.jpg","vansmithlab.com","","Design that begins from observing unconscious behaviour rather than from the form of an object. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/glossary/industrial-designers/naoto-fukasawa-behaviour-before-form/","","industrial-design, technology, design, visual culture, VANSMITHLAB"
"Neofuturism — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/dcb88703291abac99ab7.jpg","vansmithlab.com","","flow, parametrics and the image of the future · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/neofuturism-flow-parametrics-image-of-future/","","architecture, fashion, photography, graphic-design, product-design, interior-design, media-publishing, design, visual culture, VANSMITHLAB"
"NeRF — neural radiance fields — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/fbff569883863ba305ab.jpg","vansmithlab.com","","A set of ordinary photographs becomes a continuous scene representation from which any new viewpoint can be produced. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/nerf-neural-radiance-fields/","","technology, image-grammar, design, visual culture, VANSMITHLAB"
"Neue Nationalgalerie as a Space of Display — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/d09972bc4d08007a292d.jpg","vansmithlab.com","","Mies van der Rohe: a free glazed upper platform, concealed lower-level infrastructure, and the museum as tension between universality and specific display. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/en/encyclopedia/neue-nationalgalerie-space-of-display/","","space-typologies, design, visual culture, VANSMITHLAB"
"Neville Brody — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/1f163efa37fc9b158220.jpg","vansmithlab.com","","Typography, subculture and a changing visual language · VANSMITHLAB · AI editorial illustration, 2026","https://vansmithlab.com/en/glossary/graphic-designers/neville-brody-typography-subculture-changing-visual-language/","","graphic-design, media-publishing, fashion, art, design, visual culture, VANSMITHLAB"
"Nick Knight — EN | VANSMITHLAB","https://vansmithlab.com/images/pinterest/40ffd36cdf2787366821.jpg","vansmithlab.com","","Image-making, fashion film and digital experiment · VANSMITHLAB · AI illustration, 2026","https://vansmithlab.com/en/glossary/photographers/nick-knight-image-making-fashion-film-digital-experiment/","","photography, fashion, media-publishing, art, graphic-design, design, visual culture, VANSMITHLAB"
