"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Barber Osgerby — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/0e6650dfcd62a941c9e3.jpg","vansmithlab.com","","Студия промышленного и предметного дизайна в Лондоне с 1996 года. Строила предметы через исследование материала, технологии и промышленного процесса. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/barber-osgerby/","","product-design, design, visual culture, VANSMITHLAB"
"Celine: как минимализм становится и теряет культ — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/701643a8ce1a36f2316c.jpg","vansmithlab.com","","Дом, где две противоположные авторские линии подряд показали, насколько идентичность марки зависит от одного назначения. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/celine/","","fashion-systems, image-grammar, design, visual culture, VANSMITHLAB"
"CGI — устройство цифровой сцены — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/f67e9de5404cd25efcf1.jpg","vansmithlab.com","","Модель, материал, свет, камера и рендер строят правдоподобие как систему. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/encyclopedia/cgi-anatomy-of-digital-scene/","","technology, design, visual culture, VANSMITHLAB"
"CGI: почему изображение больше не снимают, а собирают — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/f9b5eed017adbf885f10.jpg","vansmithlab.com","","3D-сцена, виртуальный свет, композитинг, реконструкция и генеративное видео как новая производственная логика кадра · VANSMITHLAB · оригинальная AI-иллюстрация, 2026","https://vansmithlab.com/ru/analysis/cgi-why-images-are-built-not-shot/","","photography, graphic-design, media-publishing, design, visual culture, VANSMITHLAB"
"Chanel: история модного дома — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/f3f319a0d8a3a62fb887.jpg","vansmithlab.com","","Как парижское ателье превратило свободу движения, материальные коды и ремесленную инфраструктуру в устойчивую систему модного дома. · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/istoriya-modnogo-doma-chanel/","","fashion, design, visual culture, VANSMITHLAB"
"COLLINS — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/ee605628c44b728cfea0.jpg","vansmithlab.com","","Студия или агентство, формирующее стратегию и визуальную идентичность организаций и марок в Нью-Йорке с 2008 года. Соединяет исследование культуры, типографику, повествование и построение целостной системы, где визуальный язык должен поддерживать новое положение организации. · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/collins/","","graphic-design, media-publishing, design, visual culture, VANSMITHLAB"
"Comme des Garçons: отрицание нормы как производственная система — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/d3878ca9294c87246564.jpg","vansmithlab.com","","Дом, где радикальная главная линия финансируется разветвлённой системой марок, а магазин работает как выставка. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/comme-des-garcons/","","fashion-systems, space-typologies, design, visual culture, VANSMITHLAB"
"Commercial Type — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/d98841e41f921d5b6f74.jpg","vansmithlab.com","","Шрифтовая студия в Лондоне и Нью-Йорке с 2007 года. Создаёт розничные и заказные шрифтовые семьи через историческое исследование, точную типографическую систему и требования современных медиа. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/commercial-type/","","graphic-design, media-publishing, design, visual culture, VANSMITHLAB"
"ControlNet и управляемая генерация — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/063a7fe7a1c68d22a863.jpg","vansmithlab.com","","Генеративная модель получает пространственное условие — позу, контур или глубину — и перестаёт быть лотереей. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/encyclopedia/controlnet-controlled-generation/","","technology, image-grammar, design, visual culture, VANSMITHLAB"
"Cooper Hewitt, Smithsonian Design Museum — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/ffa04a5db2609f30ec91.jpg","vansmithlab.com","","Культурная институция в Нью-Йорке с 1897 года. Собирает исторический и современный дизайн в длинной временной перспективе. · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/cooper-hewitt/","","art, architecture, graphic-design, product-design, fashion, media-publishing, design, visual culture, VANSMITHLAB"
"Dazed — Молодёжная культура, провокация и журнал как лаборатория — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/3ffc6a54e53fe78ea139.jpg","vansmithlab.com","","Как Dazed превратил моду, музыку, искусство и молодёжную культуру в лабораторию будущей видимости. · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/dazed-youth-culture-provocation-magazine-future-laboratory/","","graphic-design, fashion, photography, media-publishing, design, visual culture, VANSMITHLAB"
"Design Museum London — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/2bc1849af468a740ff45.jpg","vansmithlab.com","","Культурная институция в Лондоне с 1989 года. Представляет современный дизайн широкому обществу через выставки, образование, коллекцию и программы, соединяющие предмет, графику, моду, архитектуру и технологии. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/design-museum-london/","","art, architecture, graphic-design, product-design, fashion, media-publishing, design, visual culture, VANSMITHLAB"
"Dimorestudio — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/2413a6ac4cc41968a9d6.jpg","vansmithlab.com","","Студия в Милане с 2003 года. Строит интерьеры как многослойные сцены памяти. · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/dimorestudio/","","interior-design, architecture, product-design, design, visual culture, VANSMITHLAB"
"Dinamo — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/64a28a7152fb91ef9b92.jpg","vansmithlab.com","","Шрифтовая студия в Берлине с 2013 года. Соединяет проектирование шрифта с программным обеспечением, исследованиями, издательством и нестандартными моделями распространения. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/dinamo/","","graphic-design, media-publishing, design, visual culture, VANSMITHLAB"
"DIVISION — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/a78fd1eeb4ef0e016158.jpg","vansmithlab.com","","Компания в Париже с 2010 года. Соединяет производство, представительство режиссёров и фотографов и развитие авторских работ между рекламой, музыкой, модой и кино. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/division/","","fashion, photography, media-publishing, design, visual culture, VANSMITHLAB"
"Droga5 — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/b1c42e113c965c818cf9.jpg","vansmithlab.com","","Рекламное агентство в Нью-Йорке с 2006 года. Соединяет стратегию, культурное наблюдение и сильный повествовательный ход, часто превращая рекламную задачу в событие или вымышленную историю. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/droga5/","","graphic-design, media-publishing, design, visual culture, VANSMITHLAB"
"E-1027 — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/8952879418cd0c1e82c1.jpg","vansmithlab.com","","Эйлин Грей и Жан Бадович: дом как точная настройка тела, климата, мебели и повседневных действий. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/encyclopedia/e-1027/","","space-typologies, design, visual culture, VANSMITHLAB"
"Eames House — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/d34606ae2d284d593598.jpg","vansmithlab.com","","Case Study House №8: промышленная система, дом-студия, коллекция вещей и лаборатория повседневного творчества. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/encyclopedia/eames-house-case-study-house-8/","","space-typologies, design, visual culture, VANSMITHLAB"
"Eames Lounge Chair — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/c7c6a2008c2b7c4961f6.jpg","vansmithlab.com","","Формованная фанера, комфорт и послевоенная роскошь · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/encyclopedia/eames-lounge-chair/","","object-space, design, visual culture, VANSMITHLAB"
"Eames: фанера, дом, фильм и эксперимент как единый метод — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/599430dda31db5653788.jpg","vansmithlab.com","","Предмет, дом, учебный фильм и прототип связаны одной практикой: проверять идею через материал и медиа. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/eames-plywood-house-film-and-experiment-as-method/","","industrial-design, image-grammar, design, visual culture, VANSMITHLAB"
"Experimental Jetset — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/dada7f7a1223c2c87bf6.jpg","vansmithlab.com","","Дизайн-студия в Амстердаме с 1997 года. Рассматривает графический дизайн как систему языка, печати, типографики и культурных ссылок; метод строится на ограничениях и внимании к устройству самого носителя. · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/experimental-jetset/","","graphic-design, product-design, media-publishing, design, visual culture, VANSMITHLAB"
"Faber Futures — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/8849c8e7a5c193885e0a.jpg","vansmithlab.com","","Исследовательская организация, изучающая материалы, производство и возможные модели будущего в Лондоне с 2018 года. Соединяет биотехнологию, дизайн и системное исследование. · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/faber-futures/","","product-design, architecture, art, design, visual culture, VANSMITHLAB"
"Fendi: мех, семья и самое долгое авторство в моде — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/001db5d44dcda8c6d94b.jpg","vansmithlab.com","","Римская мастерская, где один приглашённый дизайнер проработал более полувека и превратил меховое ремесло в лабораторию. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/fendi/","","fashion-systems, materials, design, visual culture, VANSMITHLAB"
"Field Operations — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/8599c4f9a19a0b2d0de7.jpg","vansmithlab.com","","Ландшафтная практика в Нью-Йорке с 1998 года. Рассматривает ландшафт как инфраструктуру, которая способна менять экономику района, экологию, движение людей и образ города одновременно. · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/field-operations/","","architecture, design, visual culture, VANSMITHLAB"
"FIELD.IO — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/d689e9f06d0f08c6e081.jpg","vansmithlab.com","","Студия в Лондоне с 2009 года. Использует вычислительный дизайн, движение и данные для создания графических систем, цифровых продуктов и пространств, которые меняются во времени. · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/field-io/","","graphic-design, art, media-publishing, design, visual culture, VANSMITHLAB"
"Formafantasma — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/ba03e567f4e51165417d.jpg","vansmithlab.com","","Дизайн-студия в Амстердаме и Милане с 2009 года. Начинает проект не с формы объекта, а с исследования происхождения сырья, производственных цепочек, экологии, политики и истории материала. · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/formafantasma/","","graphic-design, product-design, media-publishing, design, visual culture, VANSMITHLAB"
"Fuseproject — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/3d58f5a7c97cec3f0d83.jpg","vansmithlab.com","","Студия промышленного и предметного дизайна в Сан-Франциско с 1999 года. Соединяет промышленный дизайн, инженерное мышление, марку и предпринимательство. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/fuseproject/","","product-design, design, visual culture, VANSMITHLAB"
"Givenchy: раздельный гардероб и экранный образ — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/f7b74f0ff8f57af58c1b.jpg","vansmithlab.com","","Дом, предложивший сочетаемые вещи вместо цельного силуэта и получивший репутацию через кинематограф. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/givenchy/","","fashion-systems, image-grammar, design, visual culture, VANSMITHLAB"
"Grilli Type — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/876b0c5f3a42b3febaa0.jpg","vansmithlab.com","","Шрифтовая студия в Цюрихе с 2009 года. Переосмысляет швейцарскую типографическую традицию через современные семейства, экранное использование и выразительные детали внутри рациональной системы. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/grilli-type/","","graphic-design, media-publishing, design, visual culture, VANSMITHLAB"
"Gustafson Porter + Bowman — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/ddd4817d4109b1c2e86a.jpg","vansmithlab.com","","Ландшафтная практика в Лондоне с 1997 года. Строит ландшафт через скульптурный рельеф, воду, посадки и точное движение человека. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/gustafson-porter-bowman/","","architecture, design, visual culture, VANSMITHLAB"
"Harper’s Bazaar — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/56acfeab8b6bb293bc79.jpg","vansmithlab.com","","Мода, модернизм и журнал как редакционная лаборатория · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/harpers-bazaar-fashion-modernism-editorial-laboratory/","","media-publishing, fashion, photography, graphic-design, design, visual culture, VANSMITHLAB"
"Helvetica: как шрифт стал инфраструктурой — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/e92d7454c89544b3fa3c.jpg","vansmithlab.com","","Сила гарнитуры не в выразительности, а в способности исчезать внутри навигации, идентичности и интерфейса. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/helvetica-typeface-as-infrastructure/","","graphic-design, history-movements, design, visual culture, VANSMITHLAB"
"Herzog & de Meuron — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/a902f939ed1d692a6957.jpg","vansmithlab.com","","Архитектурное бюро, повлиявшее на язык современной формы, пространства и города в Базеле с 1978 года. Использует материал, поверхность и конструкцию как носители образа. · VANSMITHLAB · оригинальная AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/herzog-de-meuron/","","architecture, interior-design, architects, materials-techniques, design, visual culture, VANSMITHLAB"
"i-D — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/ba7fb21662f2b57b87d1.jpg","vansmithlab.com","","Уличный стиль, идентичность и журнал как язык взгляда · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/i-d-street-style-identity-magazine-visual-language/","","graphic-design, fashion, photography, media-publishing, design, visual culture, VANSMITHLAB"
"ICONOCLAST — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/3edabb1ff2d17b05946a.jpg","vansmithlab.com","","Компания в Париже с 2012 года. Развивает режиссёрские практики между рекламой, музыкальным видео, кино, телевидением и печатным изображением, не разделяя коммерческую и авторскую формы жёсткой границей. · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/iconoclast/","","fashion, photography, media-publishing, design, visual culture, VANSMITHLAB"
"IDEO — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/658025164983c82bbcc9.jpg","vansmithlab.com","","Студия промышленного и предметного дизайна в Пало-Альто с 1991 года. Начинает проект с наблюдения за поведением людей, быстрых прототипов и проверки гипотез. · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/ideo/","","product-design, design, visual culture, VANSMITHLAB"
"IKEA: плоская упаковка как культурная и логистическая система — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/1400fc31cf719db5e597.jpg","vansmithlab.com","","Плоская упаковка изменила не доставку, а форму предмета, роль покупателя, цену и само представление о доме. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/ikea-flat-pack-as-cultural-and-logistical-system/","","industrial-design, space-typologies, design, visual culture, VANSMITHLAB"
"Industrial Facility — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/2cf4834e0f0e8f72b128.jpg","vansmithlab.com","","Студия промышленного и предметного дизайна в Лондоне с 2002 года. Исходит из полезности и длительного использования. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/industrial-facility/","","product-design, design, visual culture, VANSMITHLAB"
"Interview — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/835f48755a71cafee7b1.jpg","vansmithlab.com","","Разговор, знаменитость и журнал как социальная сеть · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/interview-conversation-celebrity-magazine-as-social-network/","","media-publishing, fashion, photography, art, design, visual culture, VANSMITHLAB"
"Inventory Press — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/a8b0ed425e5de808ce3b.jpg","vansmithlab.com","","Независимое издательство или редакционная студия в Лос-Анджелесе с 2015 года. Издаёт книги об искусстве, архитектуре, дизайне и музыке с особым вниманием к субкультурам, малым историям и общественно-политическим аспектам материальной культуры. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/inventory-press/","","media-publishing, graphic-design, photography, art, architecture, design, visual culture, VANSMITHLAB"
"Klim Type Foundry — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/43fc5a319d3777011ac5.jpg","vansmithlab.com","","Шрифтовая студия в Веллингтоне с 2005 года. Создаёт шрифты через внимательное исследование пропорций, исторических моделей и требований конкретной языковой и редакционной среды. · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/klim-type-foundry/","","graphic-design, media-publishing, design, visual culture, VANSMITHLAB"
"Landor — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/191ca484854c818add65.jpg","vansmithlab.com","","Студия или агентство, формирующее стратегию и визуальную идентичность организаций и марок в Сан-Франциско с 1941 года. Связывает стратегию организации с визуальным, словесным, звуковым и пространственным выражением марки. · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/landor/","","graphic-design, media-publishing, design, visual culture, VANSMITHLAB"
"Lars Müller Publishers — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/104a4fc780b2b1841431.jpg","vansmithlab.com","","Независимое издательство или редакционная студия в Бадене с 1983 года. Издаёт книги по архитектуре, дизайну, фотографии, искусству и обществу. · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/lars-muller-publishers/","","media-publishing, graphic-design, photography, art, architecture, design, visual culture, VANSMITHLAB"
"LAYER — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/e45c283e3e5f672b6bdb.jpg","vansmithlab.com","","Студия промышленного и предметного дизайна в Лондоне с 2015 года. Объединяет стратегию, промышленный дизайн, инженерное проектирование и визуальную идентичность. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/layer/","","product-design, design, visual culture, VANSMITHLAB"
"LC4 — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/877f9d84c70e86ee8c20.jpg","vansmithlab.com","","Тело как механизм отдыха: регулируемая поза, трубчатая сталь и новая эргономика · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/encyclopedia/lc4-chaise-longue/","","object-space, design, visual culture, VANSMITHLAB"
"Loewe: кожевенная мастерская как культурная институция — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/1b07b72c4ec9f8137fab.jpg","vansmithlab.com","","Дом, переопределивший себя через ремесло: премия, фонд и выставочная программа стали частью марки наравне с сумкой. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/loewe/","","fashion-systems, materials, design, visual culture, VANSMITHLAB"
"LoRA и адаптация моделей — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/83acba8bf119f40de83a.jpg","vansmithlab.com","","Способ дообучить большую модель под конкретную задачу, изменив доли процента её весов. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/encyclopedia/lora-model-adaptation/","","technology, image-grammar, design, visual culture, VANSMITHLAB"
"M/M (Paris) — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/5ecaccc62aeb2381198e.jpg","vansmithlab.com","","Знаки, сотрудничество и расширенное поле графического дизайна · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/mm-paris-signs-collaboration-expanded-graphic-design/","","graphic-design, media-publishing, fashion, art, photography, product-design, interior-design, design, visual culture, VANSMITHLAB"
"MACK — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/10cb5b79abd13a5edc5e.jpg","vansmithlab.com","","Независимое издательство или редакционная студия в Лондоне с 2010 года. Рассматривает книгу как самостоятельную авторскую форму, где последовательность изображений, размер, бумага, печать и текст вместе создают способ чтения фотографии и искусства. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/mack/","","media-publishing, graphic-design, photography, art, architecture, design, visual culture, VANSMITHLAB"
"Maison de Verre — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/c5a418e1743d7712b56f.jpg","vansmithlab.com","","Пьер Шаро, Бернар Бейвут и дом Дальсасов: индустриальные материалы, подвижные элементы и сложная приватность. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/encyclopedia/maison-de-verre/","","space-typologies, design, visual culture, VANSMITHLAB"
"Maison Margiela: анонимность как авторская подпись — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/709ded2fb6607a53f351.jpg","vansmithlab.com","","Дом, построивший узнаваемость на отказе от лица, имени и логотипа — и превративший изнанку конструкции в фирменный код. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/maison-margiela/","","fashion-systems, image-grammar, design, visual culture, VANSMITHLAB"
"Marshmallow Laser Feast — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/d073831c32374e0fabb7.jpg","vansmithlab.com","","Художественная студия в Лондоне с 2012 года. Использует виртуальную реальность, пространственный звук и научные данные, чтобы переводить невидимые процессы природы в телесно переживаемые образы. · VANSMITHLAB · AI-иллюстрация, 2026","https://vansmithlab.com/ru/articles/marshmallow-laser-feast/","","art, media-publishing, design, visual culture, VANSMITHLAB"
"Material ConneXion — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/2058c192371d9e623898.jpg","vansmithlab.com","","Исследовательская организация, изучающая материалы, производство и возможные модели будущего в Нью-Йорке с 1997 года. Собирает физическую и цифровую библиотеку новых материалов и помогает дизайнерам сравнивать свойства, производителей и возможные области применения. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/material-connexion/","","product-design, architecture, art, design, visual culture, VANSMITHLAB"
"Materiom — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/c4764602e854aebe72b4.jpg","vansmithlab.com","","Исследовательская организация, изучающая материалы, производство и возможные модели будущего в Лондоне с 2017 года. Строит открытую базу рецептур материалов биологического происхождения и связывает экспериментальные образцы с данными, которые позволяют сравнивать свойства и возможное применение. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/materiom/","","product-design, architecture, art, design, visual culture, VANSMITHLAB"
"Mezzadro — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/1f88f74bbb4e41f69c20.jpg","vansmithlab.com","","Найденный промышленный элемент как новый домашний предмет · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/encyclopedia/mezzadro-stool/","","object-space, design, visual culture, VANSMITHLAB"
"MoMA — Architecture & Design — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/2bac21e06bc8250d0207.jpg","vansmithlab.com","","Культурная институция в Нью-Йорке с 1932 года. Собирает архитектуру и дизайн как взаимосвязанные области, формируя историю через выставки, приобретения, архивы и исследовательские программы. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/articles/moma-architecture-design/","","art, architecture, graphic-design, product-design, fashion, media-publishing, design, visual culture, VANSMITHLAB"
